Name,SAT Critical Reading 25th percentile score,SAT Math 25th percentile score,SAT Writing 25th percentile score,ACT Composite 25th percentile score
Skidmore College,560.0,570.0,570.0,26.0
Saint Joseph's College-New York,470.0,480.0,460.0,21.0
Saint John Fisher College,480.0,510.0,460.0,22.0
SUNY at Binghamton,590.0,630.0,580.0,27.0
Stony Brook University,550.0,600.0,540.0,26.0
SUNY College at Brockport,470.0,490.0,450.0,21.0
State University of New York at New Paltz,510.0,520.0,510.0,23.0
SUNY Oneonta,500.0,520.0,490.0,22.0
SUNY at Purchase College,500.0,480.0,490.0,21.0
SUNY College at Old Westbury,450.0,470.0,430.0,19.0
SUNY Maritime College,450.0,480.0,430.0,20.0
Syracuse University,500.0,540.0,520.0,23.0
Union College,590.0,630.0,590.0,28.0
Utica College,410.0,420.0,400.0,18.0
Vassar College,660.0,650.0,660.0,30.0
Wagner College,530.0,520.0,520.0,22.0
Wells College,480.0,470.0,460.0,21.0
Yeshiva University,550.0,550.0,540.0,23.0
Appalachian State University,520.0,540.0,500.0,24.0
Barton College,410.0,430.0,390.0,18.0
Campbell University,380.0,385.0,390.0,17.0
Chowan University,360.0,340.0,340.0,14.0
Davidson College,630.0,600.0,610.0,29.0
Duke University,670.0,690.0,680.0,30.0
East Carolina University,480.0,500.0,450.0,21.0
Elizabeth City State University,380.0,400.0,370.0,16.0
Elon University,560.0,560.0,560.0,23.0
Fayetteville State University,380.0,400.0,360.0,17.0
Gardner-Webb University,440.0,460.0,430.0,19.0
Greensboro College,390.0,400.0,380.0,15.0
Guilford College,460.0,480.0,450.0,20.0
High Point University,490.0,500.0,480.0,21.0
Livingstone College,320.0,320.0,310.0,13.0
Methodist University,420.0,440.0,400.0,18.0
North Carolina A & T State University,400.0,420.0,390.0,17.0
University of North Carolina at Asheville,550.0,550.0,520.0,24.0
University of North Carolina at Chapel Hill,590.0,610.0,580.0,28.0
University of North Carolina at Charlotte,480.0,500.0,470.0,20.0
University of North Carolina at Greensboro,460.0,470.0,440.0,21.0
North Carolina Central University,390.0,400.0,370.0,16.0
North Carolina State University at Raleigh,550.0,590.0,520.0,25.0
University of North Carolina Wilmington,540.0,560.0,520.0,22.0
University of North Carolina at Pembroke,410.0,430.0,390.0,18.0
Pfeiffer University,410.0,440.0,400.0,18.0
Queens University of Charlotte,470.0,470.0,460.0,21.0
St Andrews University,430.0,450.0,400.0,18.0
Warren Wilson College,530.0,480.0,520.0,23.0
Wingate University,440.0,470.0,430.0,19.0
Winston-Salem State University,410.0,430.0,380.0,16.0
Western Carolina University,460.0,480.0,440.0,20.0
Dickinson State University,425.0,405.0,380.0,18.0
University of North Dakota,470.0,500.0,450.0,21.0
North Dakota State University-Main Campus,490.0,490.0,450.0,21.0
Valley City State University,420.0,440.0,380.0,18.0
Ashland University,430.0,440.0,440.0,20.0
Bowling Green State University-Main Campus,440.0,440.0,450.0,19.0
Capital University,470.0,490.0,440.0,21.0
Case Western Reserve University,600.0,670.0,620.0,29.0
Cedarville University,540.0,540.0,520.0,24.0
University of Cincinnati-Main Campus,490.0,510.0,490.0,22.0
Ohio Christian University,400.0,360.0,380.0,17.0
University of Dayton,490.0,530.0,500.0,24.0
The University of Findlay,480.0,480.0,470.0,21.0
Hiram College,430.0,450.0,430.0,19.0
John Carroll University,490.0,500.0,480.0,22.0
Kent State University at Kent,470.0,470.0,450.0,20.0
Kenyon College,630.0,600.0,630.0,28.0
Lake Erie College,430.0,440.0,405.0,19.0
Muskingum University,400.0,420.0,380.0,18.0
Oberlin College,650.0,620.0,645.0,28.0
Ohio Dominican University,440.0,480.0,430.0,20.0
Ohio Northern University,490.0,530.0,500.0,23.0
Ohio State University-Main Campus,540.0,610.0,550.0,27.0
Ohio University-Main Campus,480.0,490.0,470.0,22.0
Ohio Wesleyan University,490.0,500.0,490.0,22.0
Otterbein University,490.0,490.0,470.0,21.0
University of Toledo,450.0,460.0,430.0,19.0
Ursuline College,430.0,480.0,440.0,19.0
The College of Wooster,550.0,550.0,560.0,25.0
Xavier University,500.0,510.0,490.0,23.0
Oklahoma Wesleyan University,410.0,430.0,400.0,18.0
Oklahoma Christian University,460.0,450.0,440.0,22.0
Oklahoma City University,490.0,500.0,480.0,23.0
Southwestern Christian University,420.0,440.0,410.0,17.0
George Fox University,470.0,470.0,460.0,20.0
Lewis & Clark College,600.0,580.0,580.0,26.0
Linfield College-McMinnville Campus,480.0,500.0,470.0,21.0
Northwest Christian University,450.0,435.0,430.0,18.0
Oregon Institute of Technology,440.0,460.0,420.0,20.0
Reed College,660.0,620.0,638.0,28.0
Corban University,480.0,470.0,450.0,20.0
Willamette University,540.0,540.0,535.0,24.0
Bryn Athyn College of the New Church,460.0,460.0,420.0,20.0
Allegheny College,530.0,540.0,520.0,23.0
Alvernia University,440.0,450.0,440.0,18.0
Arcadia University,500.0,500.0,490.0,22.0
Bloomsburg University of Pennsylvania,440.0,460.0,430.0,19.0
Bryn Mawr College,600.0,610.0,620.0,27.0
Bucknell University,580.0,620.0,600.0,27.0
Cabrini College,390.0,390.0,380.0,17.0
California University of Pennsylvania,440.0,440.0,410.0,17.0
Carlow University,435.0,420.0,420.0,17.0
Carnegie Mellon University,640.0,700.0,650.0,30.0
Cedar Crest College,430.0,410.0,410.0,17.0
Chestnut Hill College,430.0,420.0,420.0,19.0
Delaware Valley College,430.0,450.0,420.0,19.0
Dickinson College,590.0,600.0,590.0,27.0
Drexel University,510.0,560.0,520.0,24.0
Duquesne University,510.0,520.0,500.0,22.0
Eastern University,480.0,470.0,470.0,18.0
Edinboro University of Pennsylvania,410.0,410.0,400.0,17.0
Geneva College,470.0,480.0,450.0,20.0
Gwynedd Mercy University,430.0,420.0,420.0,16.0
Haverford College,660.0,650.0,660.0,30.0
Holy Family University,420.0,430.0,410.0,16.0
Immaculata University,420.0,420.0,430.0,18.0
Indiana University of Pennsylvania-Main Campus,440.0,450.0,430.0,17.0
Keystone College,400.0,400.0,390.0,17.0
Kutztown University of Pennsylvania,430.0,440.0,420.0,18.0
La Roche College,400.0,400.0,380.0,17.0
Lafayette College,570.0,610.0,580.0,27.0
Lincoln University of Pennsylvania,380.0,390.0,370.0,15.0
Lock Haven University,410.0,430.0,410.0,17.0
Lycoming College,460.0,470.0,450.0,21.0
Mansfield University of Pennsylvania,420.0,430.0,400.0,19.0
Mercyhurst University,470.0,470.0,460.0,21.0
Messiah College,520.0,510.0,500.0,23.0
Millersville University of Pennsylvania,460.0,460.0,440.0,19.0
Mount Aloysius College,400.0,410.0,385.0,18.0
Muhlenberg College,570.0,570.0,570.0,25.0
Neumann University,390.0,380.0,380.0,16.0
Pennsylvania State University-Penn State Erie-Behrend College,460.0,490.0,440.0,19.0
Pennsylvania State University-Penn State New Kensington,430.0,430.0,410.0,16.0
Pennsylvania State University-Penn State Shenango,400.0,390.0,380.0,15.0
Pennsylvania State University-Penn State Wilkes-Barre,430.0,440.0,410.0,19.0
Pennsylvania State University-Penn State Worthington Scranton,420.0,410.0,410.0,19.0
Pennsylvania State University-Penn State Lehigh Valley,430.0,450.0,420.0,19.0
Pennsylvania State University-Penn State Altoona,440.0,450.0,430.0,19.0
Pennsylvania State University-Penn State Beaver,420.0,420.0,390.0,16.0
Pennsylvania State University-Penn State Berks,430.0,440.0,410.0,19.0
Pennsylvania State University-Penn State Harrisburg,440.0,460.0,430.0,22.0
Pennsylvania State University-Penn State Brandywine,420.0,440.0,410.0,17.0
Pennsylvania State University-Penn State Dubois,420.0,410.0,390.0,20.0
Pennsylvania State University-Penn State Fayette- Eberly,410.0,400.0,390.0,18.0
Pennsylvania State University-Penn State Hazleton,410.0,420.0,400.0,20.0
