Name,SAT Critical Reading 75th percentile score,SAT Math 75th percentile score,SAT Writing 75th percentile score,ACT Composite 75th percentile score
University of Sioux Falls,460.0,510.0,480.0,26.0
Bryan College-Dayton,600.0,600.0,580.0,25.0
Cumberland University,540.0,530.0,530.0,23.0
Fisk University,430.0,440.0,430.0,18.0
Lane College,510.0,530.0,680.0,16.0
University of Memphis,600.0,600.0,580.0,25.0
Milligan College,583.0,583.0,600.0,26.0
Sewanee-The University of the South,670.0,650.0,670.0,30.0
Southern Adventist University,600.0,580.0,590.0,25.0
Vanderbilt University,780.0,790.0,770.0,34.0
Abilene Christian University,580.0,600.0,560.0,27.0
Austin College,660.0,670.0,630.0,27.0
Baylor University,660.0,670.0,640.0,29.0
Texas A & M University-Corpus Christi,520.0,540.0,500.0,23.0
University of Dallas,680.0,650.0,660.0,30.0
Texas A & M University-Texarkana,540.0,560.0,530.0,23.0
Hardin-Simmons University,550.0,560.0,530.0,25.0
Houston Baptist University,580.0,590.0,560.0,27.0
Lubbock Christian University,560.0,570.0,560.0,24.0
University of Mary Hardin-Baylor,560.0,580.0,530.0,27.0
Midwestern State University,540.0,550.0,520.0,23.0
The University of Texas-Pan American,510.0,540.0,500.0,21.0
Paul Quinn College,440.0,450.0,490.0,18.0
Prairie View A & M University,460.0,480.0,450.0,20.0
Rice University,760.0,790.0,770.0,34.0
Saint Edward's University,610.0,610.0,600.0,26.0
University of St Thomas,590.0,620.0,588.0,28.0
Schreiner University,540.0,550.0,520.0,24.0
St Mary's University,570.0,580.0,545.0,24.0
Southern Methodist University,690.0,700.0,680.0,31.0
Stephen F Austin State University,540.0,550.0,520.0,24.0
Texas State University,560.0,570.0,540.0,25.0
Sul Ross State University,490.0,500.0,470.0,21.0
Tarleton State University,530.0,550.0,500.0,23.0
Texas A & M University-College Station,630.0,660.0,610.0,29.0
The University of Texas at Arlington,580.0,620.0,560.0,26.0
The University of Texas at Austin,670.0,710.0,680.0,31.0
The University of Texas at Tyler,560.0,598.0,550.0,25.0
Texas Christian University,620.0,650.0,640.0,29.0
Texas Lutheran University,560.0,580.0,540.0,25.0
The University of Texas at San Antonio,570.0,590.0,540.0,25.0
Texas Southern University,450.0,470.0,440.0,19.0
Texas Tech University,590.0,620.0,560.0,27.0
Texas Wesleyan University,550.0,540.0,520.0,22.0
Texas Woman's University,530.0,540.0,520.0,23.0
Wayland Baptist University,510.0,530.0,480.0,23.0
Southern Utah University,570.0,580.0,550.0,26.0
University of Utah,620.0,648.0,610.0,27.0
Castleton State College,520.0,540.0,500.0,23.0
Champlain College,620.0,620.0,600.0,28.0
Johnson State College,540.0,530.0,520.0,23.0
Lyndon State College,520.0,530.0,510.0,21.0
Middlebury College,740.0,740.0,750.0,33.0
Saint Michael's College,650.0,640.0,630.0,28.0
College of St Joseph,500.0,485.0,545.0,18.0
Southern Vermont College,490.0,490.0,478.0,20.0
Vermont Technical College,520.0,530.0,510.0,21.0
University of Vermont,640.0,650.0,650.0,29.0
Averett University,520.0,530.0,480.0,22.0
Bridgewater College,560.0,570.0,550.0,25.0
College of William and Mary,740.0,720.0,720.0,32.0
Emory & Henry College,560.0,560.0,540.0,25.0
Eastern Mennonite University,568.0,560.0,550.0,25.0
Ferrum College,490.0,490.0,470.0,20.0
Hampden-Sydney College,600.0,615.0,575.0,27.0
Lynchburg College,550.0,560.0,540.0,24.0
Mary Baldwin College,550.0,510.0,540.0,25.0
University of Mary Washington,620.0,590.0,600.0,26.0
Marymount University,570.0,560.0,560.0,24.0
Norfolk State University,480.0,480.0,460.0,20.0
Radford University,540.0,540.0,520.0,22.0
Randolph-Macon College,590.0,590.0,580.0,26.0
Randolph College,610.0,590.0,590.0,28.0
University of Richmond,690.0,720.0,690.0,31.0
Roanoke College,600.0,590.0,580.0,26.0
Shenandoah University,550.0,570.0,550.0,26.0
Southern Virginia University,570.0,560.0,553.0,26.0
The University of Virginia's College at Wise,530.0,520.0,500.0,22.0
Virginia Commonwealth University,610.0,600.0,590.0,26.0
University of Virginia-Main Campus,720.0,740.0,720.0,33.0
Virginia Military Institute,620.0,630.0,600.0,27.0
Virginia State University,450.0,445.0,440.0,18.0
Washington and Lee University,740.0,720.0,730.0,33.0
Central Washington University,550.0,550.0,520.0,23.0
Eastern Washington University,540.0,550.0,520.0,23.0
The Evergreen State College,630.0,580.0,590.0,27.0
Northwest University,600.0,570.0,570.0,28.0
Pacific Lutheran University,610.0,610.0,590.0,28.0
University of Puget Sound,670.0,660.0,670.0,30.0
Saint Martin's University,580.0,600.0,570.0,25.0
Seattle Pacific University,630.0,610.0,620.0,28.0
Seattle University,640.0,630.0,630.0,29.0
Walla Walla University,600.0,600.0,570.0,27.0
Washington State University,570.0,580.0,550.0,25.0
University of Washington-Seattle Campus,650.0,710.0,640.0,30.0
Whitman College,730.0,693.0,700.0,32.0
Alderson Broaddus University,520.0,530.0,490.0,24.0
Bethany College,530.0,510.0,490.0,24.0
Bluefield State College,500.0,430.0,510.0,21.0
Concord University,530.0,520.0,520.0,24.0
Marshall University,550.0,540.0,540.0,24.0
Ohio Valley University,520.0,520.0,500.0,23.0
West Virginia State University,495.0,480.0,470.0,22.0
West Liberty University,510.0,530.0,500.0,24.0
West Virginia Wesleyan College,510.0,557.0,550.0,25.0
Wheeling Jesuit University,563.0,550.0,550.0,24.0
Concordia University-Wisconsin,555.0,620.0,505.0,25.0
Lakeland College,520.0,440.0,450.0,24.0
Maranatha Baptist University,585.0,540.0,565.0,26.0
Marquette University,630.0,650.0,630.0,29.0
Mount Mary University,575.0,585.0,545.0,23.0
Silver Lake College of the Holy Family,493.0,505.0,443.0,23.0
University of Wisconsin-Whitewater,580.0,600.0,540.0,24.0
University of Wisconsin-Madison,650.0,750.0,670.0,30.0
Stanford University,780.0,790.0,780.0,34.0
Purdue University-Main Campus,630.0,690.0,630.0,30.0
New College of Florida,720.0,660.0,680.0,30.0
University of Washington-Bothell Campus,560.0,590.0,530.0,23.0
University of Washington-Tacoma Campus,540.0,550.0,510.0,23.0
Soka University of America,640.0,700.0,630.0,29.0
Florida Gulf Coast University,550.0,550.0,540.0,24.0
Ave Maria University,620.0,590.0,600.0,26.0
University of South Florida-St Petersburg,590.0,570.0,560.0,25.0
University of South Florida-Sarasota-Manatee,580.0,570.0,570.0,25.0
The Kingâ€™s College,630.0,600.0,640.0,28.0
